experiment,mode,control,paired_end,genome,strand_specific,moeity,ip_type,sample_name,read_length,GSM,Group,Species,Cell,Genotype,Other,Condition,Replicate,ControlType,Shearing_method,SRX,mode_group,clean_name,corr_min,corr_max,corr_median,corr_mean,corr_sd,corr_skewness,corr_kurtosis,corr_method,rlfs_min,rlfs_max,rlfs_median,rlfs_mean,rlfs_sd,rlfs_skewness,rlfs_kurtosis,rlfs_method,rlfs_pval,3UTR__Number of peaks,3UTR__Total size (bp),3UTR__Log2 Ratio (obs/exp),3UTR__LogP enrichment (+values depleted),Retroposon__Number of peaks,Retroposon__Total size (bp),Retroposon__Log2 Ratio (obs/exp),Retroposon__LogP enrichment (+values depleted),RNA__Number of peaks,RNA__Total size (bp),RNA__Log2 Ratio (obs/exp),RNA__LogP enrichment (+values depleted),miRNA__Number of peaks,miRNA__Total size (bp),miRNA__Log2 Ratio (obs/exp),miRNA__LogP enrichment (+values depleted),ncRNA__Number of peaks,ncRNA__Total size (bp),ncRNA__Log2 Ratio (obs/exp),ncRNA__LogP enrichment (+values depleted),TTS__Number of peaks,TTS__Total size (bp),TTS__Log2 Ratio (obs/exp),TTS__LogP enrichment (+values depleted),LINE__Number of peaks,LINE__Total size (bp),LINE__Log2 Ratio (obs/exp),LINE__LogP enrichment (+values depleted),srpRNA__Number of peaks,srpRNA__Total size (bp),srpRNA__Log2 Ratio (obs/exp),srpRNA__LogP enrichment (+values depleted),SINE__Number of peaks,SINE__Total size (bp),SINE__Log2 Ratio (obs/exp),SINE__LogP enrichment (+values depleted),RC__Number of peaks,RC__Total size (bp),RC__Log2 Ratio (obs/exp),RC__LogP enrichment (+values depleted),tRNA__Number of peaks,tRNA__Total size (bp),tRNA__Log2 Ratio (obs/exp),tRNA__LogP enrichment (+values depleted),pseudo__Number of peaks,pseudo__Total size (bp),pseudo__Log2 Ratio (obs/exp),pseudo__LogP enrichment (+values depleted),DNA__Number of peaks,DNA__Total size (bp),DNA__Log2 Ratio (obs/exp),DNA__LogP enrichment (+values depleted),Exon__Number of peaks,Exon__Total size (bp),Exon__Log2 Ratio (obs/exp),Exon__LogP enrichment (+values depleted),Intron__Number of peaks,Intron__Total size (bp),Intron__Log2 Ratio (obs/exp),Intron__LogP enrichment (+values depleted),Intergenic__Number of peaks,Intergenic__Total size (bp),Intergenic__Log2 Ratio (obs/exp),Intergenic__LogP enrichment (+values depleted),Promoter__Number of peaks,Promoter__Total size (bp),Promoter__Log2 Ratio (obs/exp),Promoter__LogP enrichment (+values depleted),5UTR__Number of peaks,5UTR__Total size (bp),5UTR__Log2 Ratio (obs/exp),5UTR__LogP enrichment (+values depleted),snoRNA__Number of peaks,snoRNA__Total size (bp),snoRNA__Log2 Ratio (obs/exp),snoRNA__LogP enrichment (+values depleted),scRNA__Number of peaks,scRNA__Total size (bp),scRNA__Log2 Ratio (obs/exp),scRNA__LogP enrichment (+values depleted),CpG-Island__Number of peaks,CpG-Island__Total size (bp),CpG-Island__Log2 Ratio (obs/exp),CpG-Island__LogP enrichment (+values depleted),Low_complexity__Number of peaks,Low_complexity__Total size (bp),Low_complexity__Log2 Ratio (obs/exp),Low_complexity__LogP enrichment (+values depleted),LTR__Number of peaks,LTR__Total size (bp),LTR__Log2 Ratio (obs/exp),LTR__LogP enrichment (+values depleted),Simple_repeat__Number of peaks,Simple_repeat__Total size (bp),Simple_repeat__Log2 Ratio (obs/exp),Simple_repeat__LogP enrichment (+values depleted),snRNA__Number of peaks,snRNA__Total size (bp),snRNA__Log2 Ratio (obs/exp),snRNA__LogP enrichment (+values depleted),Unknown__Number of peaks,Unknown__Total size (bp),Unknown__Log2 Ratio (obs/exp),Unknown__LogP enrichment (+values depleted),Satellite__Number of peaks,Satellite__Total size (bp),Satellite__Log2 Ratio (obs/exp),Satellite__LogP enrichment (+values depleted),rRNA__Number of peaks,rRNA__Total size (bp),rRNA__Log2 Ratio (obs/exp),rRNA__LogP enrichment (+values depleted),Other__Number of peaks,Other__Total size (bp),Other__Log2 Ratio (obs/exp),Other__LogP enrichment (+values depleted),ARTEFACT__Number of peaks,ARTEFACT__Total size (bp),ARTEFACT__Log2 Ratio (obs/exp),ARTEFACT__LogP enrichment (+values depleted),miscRNA__Number of peaks,miscRNA__Total size (bp),miscRNA__Log2 Ratio (obs/exp),miscRNA__LogP enrichment (+values depleted),MACS2__Distinct Peak Count,EPIC2__Distinct Peak Count,MACS2__Overlapping Peak Count,EPIC2__Overlapping Peak Count,MACS2__Percentage Peaks Overlapping,EPIC2__Percentage Peaks Overlapping,MACS2__total_peaks,EPIC2__total_peaks,reads_before,reads_after,percent_passing,gc_content,read_length_after_filter,reads_aligned,pct_aligned,duplicate_reads,pct_duplicated
"SRR393966,SRR891288,SRR891289",DRIVE,NA,FALSE,hg38,FALSE,RNA,RNaseH1,SRX113814_Ntera2_DNA,40,SRX113814,Chedin,HS,NT2,WT,NT,S9.6,0,None,RES,SRX113814,misc,DRIVE_NT2_Chedin_S9.6_SRX113814,NA,NA,NA,NA,NA,NA,NA,NA,-5000,5000,0,55.2219634290529,2991.61623338943,0.00093536314958927,1.76390733757135,unbiased,0.10877311884074649,        0.000, 26268976.000,       -1.960,        2.877,        0.000,  3974887.000,       -0.520,        0.434,        0.000,   106157.000,       -0.017,        0.012,        0.000,    95182.000,       -0.015,        0.010,        2.000,  6813569.000,        1.429,       -1.768,        5.000, 31533018.000,        0.540,       -1.338,       67.000,620955578.000,       -0.015,        0.705,        0.000,   254129.000,       -0.039,        0.028,        9.000,369468902.000,       -2.162,       21.252,        0.000,   355924.000,       -0.055,        0.039,        0.000,    90411.000,       -0.014,        0.010,        0.000,  2004606.000,       -0.285,        0.219,        3.000, 97979324.000,       -1.832,        5.175,        4.000, 36257726.000,        0.017,       -0.582,       73.000,644653796.000,        0.055,       -0.971,       93.000,725086905.000,        0.234,       -3.147,        2.000, 34966117.000,       -0.931,        1.327,        0.000,  2533288.000,       -0.352,        0.276,        0.000,      317.000,        0.000,        0.000,        0.000,   119147.000,       -0.019,        0.013,        0.000,  8666304.000,       -0.962,        0.946,        0.000,  5316733.000,       -0.661,        0.580,       39.000,255294859.000,        0.486,       -3.863,       15.000, 33395196.000,        2.042,      -12.091,        0.000,   307465.000,       -0.048,        0.034,        0.000,   709026.000,       -0.107,        0.077,       13.000, 71573153.000,        0.736,       -2.945,        0.000,   193979.000,       -0.030,        0.021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  53.0,8014.0, 327.0, 300.0,  86.1,   3.6, 380.0,8314.0,30436981,30194723,99.2,0.405425,37,19369810,64.14965290458203,7809444,25.863605372369204
"SRR393965,SRR891287",DRIP,NA,FALSE,hg38,FALSE,DNA,S9.6,SRX113813_Ntera2_DNA,58,SRX113813,Chedin,HS,NT2,WT,NT,S9.6,1,None,RES,SRX113813,DRIP,DRIP_NT2_Chedin_S9.6_SRX113813,-0.0493887919507173,1,0.587301022652431,0.519337529054434,0.212255557508756,-1.31558618190882,4.16245623604469,unbiased,-5000,5000,0,7.62086580009578,1742.15975329786,0.0201703031127849,2.8122722530025,unbiased,2.699837725867246,      155.000, 26837506.000,        1.405,      -58.147,        0.000,  4066264.000,       -3.305,        8.874,        0.000,   108000.000,       -0.305,        0.236,        0.000,    97618.000,       -0.278,        0.213,       48.000,  7044630.000,        1.643,      -24.605,      238.000, 32415424.000,        1.751,     -127.007,      731.000,633648705.000,       -0.919,      226.993,        0.000,   262620.000,       -0.653,        0.573,      494.000,379830945.000,       -0.746,       91.467,        0.000,   362795.000,       -0.841,        0.791,        1.000,    91981.000,        2.318,       -1.705,        4.000,  2117523.000,       -0.207,        0.674,       92.000, 99430622.000,       -1.237,       49.802,      381.000, 37124313.000,        2.234,     -300.533,     2037.000,656145184.000,        0.509,     -152.784,      463.000,781768252.000,       -1.881,      784.089,     1292.000, 35960052.000,        4.042,    -2528.529,      112.000,  2601614.000,        4.303,     -231.786,        0.000,      357.000,       -0.001,        0.001,        0.000,   121838.000,       -0.340,        0.266,      306.000,  9030613.000,        3.958,     -562.986,       12.000,  5485196.000,        0.004,       -0.627,      150.000,262341498.000,       -1.931,      238.610,      141.000, 35128859.000,        0.880,      -24.559,        1.000,   314599.000,        0.543,       -0.700,        0.000,   714206.000,       -1.355,        1.558,       83.000, 76312582.000,       -1.004,       28.672,        0.000,   218711.000,       -0.563,        0.477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 392.0,6170.0, 765.0, 580.0,  66.1,   8.6,1157.0,6750.0,81266480,68076488,83.8,0.412482,57,31977343,46.97266844905395,11659764,17.127446409985193
"SRR393964,SRR891286,SRR891290,SRR891285,SRR891291",DRIP,NA,FALSE,hg38,FALSE,DNA,S9.6,SRX113812_Ntera2_DNA,41,SRX113812,Chedin,HS,NT2,WT,NT,S9.6,2,None,RES,SRX113812,DRIP,DRIP_NT2_Chedin_S9.6_SRX113812,-0.167871299211992,1,0.441725553650124,0.389024599920055,0.17200271757822,-1.43840319927196,5.97928766484372,unbiased,-5000,5000,100,65.9320993365975,2166.10265330167,-0.0154204269324086,2.2195822435346,unbiased,2.699837725867246,       84.000, 26833139.000,        1.697,      -44.045,        0.000,  4064460.000,       -2.302,        3.928,        1.000,   108000.000,        3.261,       -2.312,        2.000,    97618.000,        4.407,       -5.479,       21.000,  7044630.000,        1.626,      -11.589,      143.000, 32412121.000,        2.192,     -110.829,      391.000,633466692.000,       -0.646,       58.657,        0.000,   262620.000,       -0.326,        0.254,      265.000,379762578.000,       -0.469,       20.082,        0.000,   362795.000,       -0.433,        0.350,        0.000,    91851.000,       -0.123,        0.089,        2.000,  2117523.000,       -0.032,        0.409,       57.000, 99418548.000,       -0.752,       11.635,      145.000, 37120946.000,        2.016,      -98.637,      985.000,656124944.000,        0.636,     -114.248,      437.000,781279450.000,       -0.788,      103.619,      176.000, 35957850.000,        2.342,     -151.085,       12.000,  2601483.000,        2.256,      -11.248,        0.000,      357.000,        0.000,        0.000,        0.000,   121738.000,       -0.160,        0.118,       20.000,  9023751.000,        1.199,       -7.255,        5.000,  5483151.000,       -0.083,        0.572,      136.000,262272993.000,       -0.897,       37.831,       80.000, 35040299.000,        1.241,      -25.609,        0.000,   314494.000,       -0.383,        0.304,        0.000,   714206.000,       -0.757,        0.690,       18.000, 76010087.000,       -2.028,       32.723,        0.000,   218711.000,       -0.276,        0.211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 178.0,2894.0, 170.0,  95.0,  48.9,   3.2, 348.0,2989.0,58352422,46566240,79.8,0.408061,39,29144537,62.58726708448009,9289493,19.948986647837575
SRR3322169,DRIPc,NA,FALSE,mm10,TRUE,RNA,S9.6,SRX1674681_3T3_DRIPc-seq,100,GSM2104456,Chedin,MM,3T3,WT,NT,S9.6,0,None,RES,SRX1674681,DRIP,DRIPc_3T3_Chedin_S9.6_SRX1674681,NA,NA,NA,NA,NA,NA,NA,NA,-5000,5000,-100,-149.65808825623,1551.17546758788,-0.246226935990621,3.53126303489866,unbiased,2.699837725867246,     1339.000, 20766699.000,        2.151,     -976.880,NA,NA,NA,NA,        6.000,   113962.000,        1.858,       -4.953,        0.000,    31126.000,       -0.538,        0.452,      106.000,  3444819.000,        1.084,      -26.301,     1609.000, 27319632.000,        2.020,    -1064.033,     2338.000,543734369.000,       -1.756,     3177.381,        1.000,    43307.000,        0.669,       -0.762,     3397.000,196423793.000,        0.252,      -56.329,        0.000,    65629.000,       -0.966,        0.953,        7.000,   266941.000,        0.853,       -2.322,       17.000,   550780.000,        1.088,       -5.599,      348.000, 28674933.000,       -0.259,        8.106,     2486.000, 34642429.000,        2.305,    -2045.161,    19094.000,602858572.000,        1.125,    -6529.282,     2555.000,822618843.000,       -2.225,     6894.445,     1748.000, 30207924.000,        1.995,    -1134.014,      290.000,  2375607.000,        3.072,     -366.405,        0.000,       19.000,        0.000,        0.000,       10.000,   602449.000,        0.193,       -0.969,      603.000,  3122067.000,        3.734,    -1010.864,      387.000, 19394317.000,        0.459,      -20.412,     2123.000,313012465.000,       -1.098,      891.828,      869.000, 57537870.000,        0.057,       -2.089,       10.000,   237324.000,        1.537,       -5.818,       17.000,  2405238.000,       -1.039,        7.405,       99.000,  4659508.000,        0.549,       -8.484,       19.000,   166665.000,        2.973,      -24.845,       60.000,  7950216.000,       -0.944,       18.462,NA,NA,NA,NA,NA,NA,NA,NA,  570.0,32636.0, 7473.0, 6914.0,   92.9,   17.5, 8043.0,39550.0,68378256,67936704,99.4,0.457881,100,25818326,38.00350102354097,14806068,21.79391570129749
SRR2075679,DRIPc,NA,FALSE,hg38,TRUE,RNA,S9.6,SRX1070676_NT2_DRIPc-seq_rep_1,50,GSM1720613,Chedin,HS,NT2,WT,NT,S9.6,1,None,ER,SRX1070676,DRIP,DRIPc_NT2_Chedin_S9.6_SRX1070676,-0.0889735050432365,1,0.388317264088067,0.390138713000293,0.233103760709297,0.0720484764665233,2.94647568690472,unbiased,-5000,5000,50,36.5291762726956,1782.56655312461,0.0113289864671721,2.85595440520993,unbiased,2.699837725867246,     2045.000, 26815532.000,        2.023,    -1351.070,       12.000,  4048118.000,       -2.663,       43.865,        2.000,   107756.000,       -0.016,        0.400,        4.000,    97618.000,        1.126,       -2.172,      250.000,  7004490.000,        0.927,      -45.215,     2062.000, 32289075.000,        1.767,    -1092.360,     8652.000,627481762.000,       -0.445,      566.846,        4.000,   261762.000,       -0.297,        0.785,     6002.000,377475121.000,       -0.239,      102.386,        6.000,   360714.000,       -0.174,        0.725,        0.000,    91224.000,       -1.439,        1.712,       49.000,  2099569.000,        0.314,       -2.561,     1771.000, 99055677.000,       -0.070,        3.971,     2581.000, 37055998.000,        1.892,    -1535.513,    24981.000,655255796.000,        1.022,    -7026.337,     3139.000,743430896.000,       -2.152,     7393.873,     1349.000, 35840323.000,        1.004,     -270.316,      140.000,  2594495.000,        1.524,      -59.588,        0.000,      357.000,       -0.010,        0.007,        5.000,   121477.000,        1.133,       -2.508,      410.000,  8951773.000,        1.287,     -127.705,      101.000,  5406439.000,       -0.007,        0.678,     2863.000,257892713.000,       -0.758,      514.935,      477.000, 34044160.000,       -0.422,       25.402,        8.000,   312132.000,        0.450,       -1.441,        9.000,   714693.000,       -0.576,        1.965,       18.000, 74382147.000,       -6.277,     1319.003,        4.000,   215470.000,       -0.016,        0.478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  351.0,41801.0,17951.0,15163.0,   98.1,   26.6,18302.0,56964.0,40206436,39064494,97.2,0.406872,50,15517570,39.72295148632925,5392656,13.804494690242244
SRR2075680,DRIPc,NA,FALSE,hg38,TRUE,RNA,S9.6,SRX1070677_NT2_DRIPc-seq_rep_2,50,GSM1720614,Chedin,HS,NT2,WT,NT,S9.6,2,None,RES,SRX1070677,DRIP,DRIPc_NT2_Chedin_S9.6_SRX1070677,-0.0920839920221265,1,0.417226459902535,0.410545754404663,0.237199706265609,-0.0625404585768082,2.92490763544053,unbiased,-5000,5000,50,29.9957589656424,1853.0753660918,0.010344510488647,2.71872540160684,unbiased,2.699837725867246,     2167.000, 26799975.000,        2.094,    -1514.768,       16.000,  4048118.000,       -2.261,       37.711,        1.000,   107756.000,       -1.029,        0.929,        4.000,    97618.000,        1.113,       -2.148,      269.000,  7003187.000,        1.020,      -57.052,     2043.000, 32259694.000,        1.741,    -1056.662,     8784.000,627171241.000,       -0.435,      550.399,        7.000,   261762.000,        0.498,       -1.463,     5555.000,377278939.000,       -0.363,      220.493,        4.000,   360201.000,       -0.770,        1.662,        2.000,    91224.000,        0.211,       -0.663,       51.000,  2109004.000,        0.353,       -2.965,     1813.000, 99004884.000,       -0.049,        2.611,     2662.000, 37027799.000,        1.924,    -1628.984,    25507.000,654418964.000,        1.041,    -7427.282,     3076.000,743344844.000,       -2.194,     7619.171,     1371.000, 35810582.000,        1.015,     -280.242,      164.000,  2593280.000,        1.739,      -86.081,        0.000,      357.000,       -0.010,        0.007,        2.000,   121379.000,       -0.201,        0.517,      392.000,  8944809.000,        1.210,     -110.049,       90.000,  5400374.000,       -0.185,        2.116,     2904.000,257799120.000,       -0.750,      510.513,      513.000, 34016950.000,       -0.329,       17.017,        6.000,   311925.000,        0.022,       -0.617,        8.000,   713433.000,       -0.756,        2.544,       13.000, 74463397.000,       -6.761,     1355.848,        2.000,   215470.000,       -1.029,        1.485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  140.0,47849.0,10869.0, 9604.0,   98.7,   16.7,11009.0,57453.0,24476530,23509552,96,0.471714,49,15837135,67.3646822363948,8433539,35.872818844017104
SRR2075681,DRIP,NA,FALSE,hg38,FALSE,DNA,S9.6,SRX1070678_NT2_DRIP-seq_1,50,GSM1720615,Chedin,HS,NT2,WT,NT,S9.6,1,None,RES,SRX1070678,DRIP,DRIP_NT2_Chedin_S9.6_SRX1070678,-0.111277815850591,1,0.665561612112567,0.58022570120127,0.258461801906495,-1.3087938044345,3.97216948678784,unbiased,-5000,5000,0,22.7483833182746,1820.21104767183,0.0139702234556216,2.68415998079944,unbiased,2.699837725867246,     1021.000, 26860586.000,        1.837,     -577.051,       28.000,  4068854.000,       -0.629,        4.734,        1.000,   108000.000,       -0.201,        0.384,        3.000,    97618.000,        1.530,       -2.435,      136.000,  7052149.000,        0.858,      -22.553,     1001.000, 32493758.000,        1.533,     -419.344,     3795.000,634060208.000,       -0.830,      933.369,        5.000,   262620.000,        0.839,       -1.887,     4738.000,380787651.000,        0.226,      -66.478,        3.000,   362795.000,       -0.364,        0.774,        3.000,    91944.000,        1.616,       -2.572,       27.000,  2139816.000,        0.246,       -1.546,      726.000, 99557232.000,       -0.545,       63.875,     1619.000, 37210595.000,        2.032,    -1084.422,    12064.000,657294101.000,        0.786,    -2042.284,     1981.000,782094619.000,       -2.071,     4257.652,     2556.000, 36044600.000,        2.736,    -2754.220,      246.000,  2604002.000,        3.150,     -323.125,        0.000,      357.000,       -0.005,        0.004,        3.000,   122224.000,        1.206,       -1.945,      878.000,  9072016.000,        3.185,    -1170.419,       67.000,  5496866.000,        0.196,       -1.912,     1682.000,262561867.000,       -0.732,      282.471,      298.000, 35188800.000,       -0.330,       10.720,        2.000,   315023.000,       -0.745,        1.053,        4.000,   715641.000,       -0.929,        2.089,       40.000, 76245480.000,       -4.342,      662.904,        0.000,   218846.000,       -1.735,        2.329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 3057.0,11567.0,36644.0,21372.0,   92.3,   64.9,39701.0,32939.0,60933938,58406404,95.9,0.473814,50,43579116,74.61359203007945,8211270,14.058852176552419
SRR2075682,DRIP,NA,FALSE,hg38,FALSE,DNA,S9.6,SRX1070679_NT2_DRIP-seq_2,50,GSM1720616,Chedin,HS,NT2,WT,NT,S9.6,2,None,RES,SRX1070679,DRIP,DRIP_NT2_Chedin_S9.6_SRX1070679,-0.0928821398063216,1,0.558043919491217,0.495660138123502,0.223373257851818,-1.28842237753405,4.04679308282101,unbiased,-5000,5000,0,8.18340679981015,1735.20836917738,0.0129213308123675,2.86940666310067,unbiased,2.699837725867246,     1235.000, 26840223.000,        1.884,     -727.438,       25.000,  4066076.000,       -1.019,        9.906,        1.000,   108000.000,       -0.429,        0.493,        3.000,    97618.000,        1.302,       -2.086,      189.000,  7046357.000,        1.106,      -46.734,     1309.000, 32431127.000,        1.695,     -648.361,     4910.000,633543235.000,       -0.685,      798.801,        5.000,   262552.000,        0.612,       -1.459,     4901.000,379821774.000,        0.050,       -5.294,        2.000,   362795.000,       -1.177,        1.765,        0.000,    91851.000,       -1.101,        1.145,       34.000,  2124114.000,        0.361,       -2.411,      892.000, 99427593.000,       -0.474,       58.631,     1947.000, 37129880.000,        2.073,    -1347.002,    15140.000,656235516.000,        0.888,    -3234.660,     2084.000,781412572.000,       -2.224,     5384.870,     2361.000, 35974868.000,        2.397,    -2062.946,      260.000,  2602436.000,        3.003,     -317.845,        0.000,      357.000,       -0.006,        0.004,        2.000,   121738.000,        0.399,       -0.803,      955.000,  9027919.000,        3.085,    -1213.390,       69.000,  5485386.000,        0.013,       -0.722,     1814.000,262327750.000,       -0.850,      420.421,      334.000, 34905746.000,       -0.381,       15.300,        6.000,   314362.000,        0.615,       -1.599,        3.000,   714206.000,       -1.569,        3.784,       20.000, 75650018.000,       -5.559,      859.447,        1.000,   218711.000,       -1.447,        1.411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  401.0,24707.0,19808.0,13808.0,   98.0,   35.9,20209.0,38515.0,39783302,38399500,96.5,0.489002,50,31145639,81.10949100899751,12019144,31.300261722157842
SRR2075683,DRIP,NA,FALSE,hg38,FALSE,DNA,S9.6,SRX1070680_NT2_DRIP-seq_RNaseA,100,GSM1720617,Chedin,HS,NT2,WT,RNaseA,S9.6,0,None,RES,SRX1070680,DRIP,DRIP_NT2_Chedin_S9.6_SRX1070680,-0.127425720337472,1,0.684122840636844,0.592107953107902,0.256790855770352,-1.35517451226061,4.06742323947513,unbiased,-5000,5000,0,26.6918044350846,1795.41575832183,0.0240632432625336,2.74425103996637,unbiased,2.699837725867246,      897.000, 26857358.000,        1.574,     -391.806,      151.000,  4071962.000,        1.724,      -78.418,        1.000,   108000.000,       -0.277,        0.418,        3.000,    98057.000,        1.447,       -2.306,      179.000,  7064732.000,        1.175,      -49.140,     1092.000, 32508804.000,        1.582,     -481.839,     3871.000,634390808.000,       -0.879,     1077.630,        3.000,   262886.000,        0.024,       -0.570,     5682.000,380550663.000,        0.412,     -248.262,        4.000,   362795.000,       -0.025,        0.486,        0.000,    91895.000,       -1.022,        1.031,       43.000,  2130246.000,        0.847,       -8.201,      700.000, 99535470.000,       -0.674,       95.650,     1544.000, 37238817.000,        1.886,     -914.736,    11780.000,657329030.000,        0.675,    -1490.454,     2818.000,783258549.000,       -1.641,     3409.786,     2296.000, 36065616.000,        2.504,    -2151.615,      240.000,  2604425.000,        3.038,     -298.736,        0.000,      357.000,       -0.006,        0.004,        1.000,   121961.000,       -0.453,        0.506,      784.000,  9141122.000,        2.934,     -923.917,       70.000,  5506199.000,        0.180,       -1.816,     2050.000,262684094.000,       -0.524,      169.304,      454.000, 35307888.000,        0.196,       -6.087,        2.000,   315401.000,       -0.823,        1.160,        4.000,   715461.000,       -1.005,        2.323,       76.000, 76716312.000,       -3.502,      612.420,        3.000,   233456.000,        0.196,       -0.720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, 2734.0,13441.0,32267.0,21315.0,   92.2,   61.3,35001.0,34756.0,43536380,40515300,93.1,0.47059,100,29803017,73.55990699809702,5153648,12.720251361831208
SRR2075684,DRIP,NA,FALSE,hg38,FALSE,DNA,S9.6,SRX1070681_NT2_DRIP-seq_RNaseH,100,GSM1720618,Chedin,HS,NT2,WT,RNaseH,RNH,0,None,RES,SRX1070681,DRIP,DRIP_NT2_Chedin_RNH_SRX1070681,-0.0925691578589138,0.592120267311082,0.190022129216556,0.195322630456357,0.133035880181882,0.606359976139562,3.39254742488154,unbiased,-5000,5000,150,156.940988710276,2012.25305377643,-0.0404711004768612,2.37961185109013,unbiased,2.699837725867246,      239.000, 26874579.000,        0.499,      -15.393,       44.000,  4072966.000,        0.780,       -7.426,        0.000,   108000.000,       -0.748,        0.679,        0.000,    98057.000,       -0.693,        0.617,       55.000,  7064582.000,        0.308,       -2.672,      384.000, 32543779.000,        0.907,      -66.227,     2942.000,634930444.000,       -0.441,      191.236,        2.000,   262622.000,        0.276,       -0.710,     4240.000,381283010.000,        0.822,     -681.238,        2.000,   362795.000,       -0.190,        0.510,        1.000,    91950.000,        0.790,       -0.823,        9.000,  2145818.000,       -0.585,        2.001,      407.000, 99644880.000,       -0.623,       48.234,      486.000, 37265169.000,        1.052,     -107.761,     4488.000,657753634.000,        0.117,      -21.152,     3362.000,784055691.000,       -0.553,      367.396,      473.000, 36101290.000,        1.058,     -106.062,       28.000,  2605981.000,        0.772,       -5.186,        0.000,      357.000,       -0.003,        0.002,        3.000,   122686.000,        1.959,       -3.136,      143.000,  9160560.000,        1.311,      -47.674,       90.000,  5516470.000,        1.375,      -33.244,     1473.000,262971578.000,       -0.167,       13.666,      482.000, 35392367.000,        1.114,     -118.070,        1.000,   315783.000,       -0.990,        0.892,        5.000,   715223.000,        0.152,       -0.760,      135.000, 76964097.000,       -1.843,      182.981,        4.000,   233510.000,        1.445,       -2.784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  378.0,17865.0, 1975.0, 1645.0,   83.9,    8.4, 2353.0,19510.0,47390764,44787090,94.5,0.418681,99,16309951,36.416634793642544,5675282,12.67169177546476
