clean_name,cluster,xgbprob,xgbverdict,lmscore,experiment,mode,control,paired_end,genome,strand_specific,moeity,ip_type,sample_name,read_length,GSM,Group,Species,Cell,Genotype,Other,Condition,Replicate,ControlType,Shearing_method,SRX,mode_group,corr_min,corr_max,corr_median,corr_mean,corr_sd,corr_skewness,corr_kurtosis,corr_method,rlfs_min,rlfs_max,rlfs_median,rlfs_mean,rlfs_sd,rlfs_skewness,rlfs_kurtosis,rlfs_method,rlfs_pval,3UTR__Number of peaks,3UTR__Total size (bp),3UTR__Log2 Ratio (obs/exp),3UTR__LogP enrichment (+values depleted),Retroposon__Number of peaks,Retroposon__Total size (bp),Retroposon__Log2 Ratio (obs/exp),Retroposon__LogP enrichment (+values depleted),RNA__Number of peaks,RNA__Total size (bp),RNA__Log2 Ratio (obs/exp),RNA__LogP enrichment (+values depleted),miRNA__Number of peaks,miRNA__Total size (bp),miRNA__Log2 Ratio (obs/exp),miRNA__LogP enrichment (+values depleted),ncRNA__Number of peaks,ncRNA__Total size (bp),ncRNA__Log2 Ratio (obs/exp),ncRNA__LogP enrichment (+values depleted),TTS__Number of peaks,TTS__Total size (bp),TTS__Log2 Ratio (obs/exp),TTS__LogP enrichment (+values depleted),LINE__Number of peaks,LINE__Total size (bp),LINE__Log2 Ratio (obs/exp),LINE__LogP enrichment (+values depleted),srpRNA__Number of peaks,srpRNA__Total size (bp),srpRNA__Log2 Ratio (obs/exp),srpRNA__LogP enrichment (+values depleted),SINE__Number of peaks,SINE__Total size (bp),SINE__Log2 Ratio (obs/exp),SINE__LogP enrichment (+values depleted),RC__Number of peaks,RC__Total size (bp),RC__Log2 Ratio (obs/exp),RC__LogP enrichment (+values depleted),tRNA__Number of peaks,tRNA__Total size (bp),tRNA__Log2 Ratio (obs/exp),tRNA__LogP enrichment (+values depleted),pseudo__Number of peaks,pseudo__Total size (bp),pseudo__Log2 Ratio (obs/exp),pseudo__LogP enrichment (+values depleted),DNA__Number of peaks,DNA__Total size (bp),DNA__Log2 Ratio (obs/exp),DNA__LogP enrichment (+values depleted),Exon__Number of peaks,Exon__Total size (bp),Exon__Log2 Ratio (obs/exp),Exon__LogP enrichment (+values depleted),Intron__Number of peaks,Intron__Total size (bp),Intron__Log2 Ratio (obs/exp),Intron__LogP enrichment (+values depleted),Intergenic__Number of peaks,Intergenic__Total size (bp),Intergenic__Log2 Ratio (obs/exp),Intergenic__LogP enrichment (+values depleted),Promoter__Number of peaks,Promoter__Total size (bp),Promoter__Log2 Ratio (obs/exp),Promoter__LogP enrichment (+values depleted),5UTR__Number of peaks,5UTR__Total size (bp),5UTR__Log2 Ratio (obs/exp),5UTR__LogP enrichment (+values depleted),snoRNA__Number of peaks,snoRNA__Total size (bp),snoRNA__Log2 Ratio (obs/exp),snoRNA__LogP enrichment (+values depleted),scRNA__Number of peaks,scRNA__Total size (bp),scRNA__Log2 Ratio (obs/exp),scRNA__LogP enrichment (+values depleted),CpG-Island__Number of peaks,CpG-Island__Total size (bp),CpG-Island__Log2 Ratio (obs/exp),CpG-Island__LogP enrichment (+values depleted),Low_complexity__Number of peaks,Low_complexity__Total size (bp),Low_complexity__Log2 Ratio (obs/exp),Low_complexity__LogP enrichment (+values depleted),LTR__Number of peaks,LTR__Total size (bp),LTR__Log2 Ratio (obs/exp),LTR__LogP enrichment (+values depleted),Simple_repeat__Number of peaks,Simple_repeat__Total size (bp),Simple_repeat__Log2 Ratio (obs/exp),Simple_repeat__LogP enrichment (+values depleted),snRNA__Number of peaks,snRNA__Total size (bp),snRNA__Log2 Ratio (obs/exp),snRNA__LogP enrichment (+values depleted),Unknown__Number of peaks,Unknown__Total size (bp),Unknown__Log2 Ratio (obs/exp),Unknown__LogP enrichment (+values depleted),Satellite__Number of peaks,Satellite__Total size (bp),Satellite__Log2 Ratio (obs/exp),Satellite__LogP enrichment (+values depleted),rRNA__Number of peaks,rRNA__Total size (bp),rRNA__Log2 Ratio (obs/exp),rRNA__LogP enrichment (+values depleted),MACS2__Distinct Peak Count,EPIC2__Distinct Peak Count,MACS2__Overlapping Peak Count,EPIC2__Overlapping Peak Count,MACS2__Percentage Peaks Overlapping,EPIC2__Percentage Peaks Overlapping,MACS2__total_peaks,EPIC2__total_peaks,reads_before,reads_after,percent_passing,gc_content,read_length_after_filter,reads_aligned,pct_aligned,duplicate_reads,pct_duplicated
DRIP_NT2_Chedin_S9.6_SRX113813,1,0.993509829044342,1,81.56986371543228,"SRR393965,SRR891287",DRIP,NA,FALSE,hg38,FALSE,DNA,S9.6,SRX113813_Ntera2_DNA,58,SRX113813,Chedin,HS,NT2,WT,NT,S9.6,1,None,RES,SRX113813,DRIP,-0.0493887919507173,1,0.587301022652431,0.519337529054434,0.212255557508756,-1.31558618190882,4.16245623604469,unbiased,-5000,5000,0,4.30401745525027,1742.43622695378,0.0197459106668672,2.80656593545984,unbiased,2.699837725867246,      155.000, 26837506.000,        1.405,      -58.147,        0.000,  4066264.000,       -3.305,        8.874,        0.000,   108000.000,       -0.305,        0.236,        0.000,    97618.000,       -0.278,        0.213,       48.000,  7044630.000,        1.643,      -24.605,      238.000, 32415424.000,        1.751,     -127.007,      731.000,633648705.000,       -0.919,      226.993,        0.000,   262620.000,       -0.653,        0.573,      494.000,379830945.000,       -0.746,       91.467,        0.000,   362795.000,       -0.841,        0.791,        1.000,    91981.000,        2.318,       -1.705,        4.000,  2117523.000,       -0.207,        0.674,       92.000, 99430622.000,       -1.237,       49.802,      381.000, 37124313.000,        2.234,     -300.533,     2037.000,656145184.000,        0.509,     -152.784,      463.000,781768252.000,       -1.881,      784.089,     1292.000, 35960052.000,        4.042,    -2528.529,      112.000,  2601614.000,        4.303,     -231.786,        0.000,      357.000,       -0.001,        0.001,        0.000,   121838.000,       -0.340,        0.266,      306.000,  9030613.000,        3.958,     -562.986,       12.000,  5485196.000,        0.004,       -0.627,      150.000,262341498.000,       -1.931,      238.610,      141.000, 35128859.000,        0.880,      -24.559,        1.000,   314599.000,        0.543,       -0.700,        0.000,   714206.000,       -1.355,        1.558,       83.000, 76312582.000,       -1.004,       28.672,        0.000,   218711.000,       -0.563,        0.477, 392.0,6170.0, 765.0, 580.0,  66.1,   8.6,1157.0,6750.0,81266480,68076488,83.8,0.412482,57,31977343,46.97266844905395,11659764,17.127446409985193
DRIP_NT2_Chedin_S9.6_SRX113812,1,0.993509829044342,1,68.81189207079152,"SRR393964,SRR891286,SRR891290,SRR891285,SRR891291",DRIP,NA,FALSE,hg38,FALSE,DNA,S9.6,SRX113812_Ntera2_DNA,41,SRX113812,Chedin,HS,NT2,WT,NT,S9.6,2,None,RES,SRX113812,DRIP,-0.167871299211992,1,0.441725553650124,0.389024599920055,0.17200271757822,-1.43840319927196,5.97928766484372,unbiased,-5000,5000,50,47.5314391184644,2156.26622075936,-0.0140194636665724,2.21400047495538,unbiased,2.699837725867246,       84.000, 26833139.000,        1.697,      -44.045,        0.000,  4064460.000,       -2.302,        3.928,        1.000,   108000.000,        3.261,       -2.312,        2.000,    97618.000,        4.407,       -5.479,       21.000,  7044630.000,        1.626,      -11.589,      143.000, 32412121.000,        2.192,     -110.829,      391.000,633466692.000,       -0.646,       58.657,        0.000,   262620.000,       -0.326,        0.254,      265.000,379762578.000,       -0.469,       20.082,        0.000,   362795.000,       -0.433,        0.350,        0.000,    91851.000,       -0.123,        0.089,        2.000,  2117523.000,       -0.032,        0.409,       57.000, 99418548.000,       -0.752,       11.635,      145.000, 37120946.000,        2.016,      -98.637,      985.000,656124944.000,        0.636,     -114.248,      437.000,781279450.000,       -0.788,      103.619,      176.000, 35957850.000,        2.342,     -151.085,       12.000,  2601483.000,        2.256,      -11.248,        0.000,      357.000,        0.000,        0.000,        0.000,   121738.000,       -0.160,        0.118,       20.000,  9023751.000,        1.199,       -7.255,        5.000,  5483151.000,       -0.083,        0.572,      136.000,262272993.000,       -0.897,       37.831,       80.000, 35040299.000,        1.241,      -25.609,        0.000,   314494.000,       -0.383,        0.304,        0.000,   714206.000,       -0.757,        0.690,       18.000, 76010087.000,       -2.028,       32.723,        0.000,   218711.000,       -0.276,        0.211, 178.0,2894.0, 170.0,  95.0,  48.9,   3.2, 348.0,2989.0,58352422,46566240,79.8,0.408061,39,29144537,62.58726708448009,9289493,19.948986647837575
DRIPc_NT2_Chedin_S9.6_SRX1070676,1,0.993509829044342,1,59.10671043164226,SRR2075679,DRIPc,NA,FALSE,hg38,TRUE,RNA,S9.6,SRX1070676_NT2_DRIPc-seq_rep_1,50,GSM1720613,Chedin,HS,NT2,WT,NT,S9.6,1,None,ER,SRX1070676,DRIP,-0.0889735050432365,1,0.388317264088067,0.390138713000293,0.233103760709297,0.0720484764665233,2.94647568690472,unbiased,-5000,5000,50,37.7731464772832,1784.15764528321,0.0124734790808989,2.85425095176732,unbiased,2.699837725867246,     2045.000, 26815532.000,        2.023,    -1351.070,       12.000,  4048118.000,       -2.663,       43.865,        2.000,   107756.000,       -0.016,        0.400,        4.000,    97618.000,        1.126,       -2.172,      250.000,  7004490.000,        0.927,      -45.215,     2062.000, 32289075.000,        1.767,    -1092.360,     8652.000,627481762.000,       -0.445,      566.846,        4.000,   261762.000,       -0.297,        0.785,     6002.000,377475121.000,       -0.239,      102.386,        6.000,   360714.000,       -0.174,        0.725,        0.000,    91224.000,       -1.439,        1.712,       49.000,  2099569.000,        0.314,       -2.561,     1771.000, 99055677.000,       -0.070,        3.971,     2581.000, 37055998.000,        1.892,    -1535.513,    24981.000,655255796.000,        1.022,    -7026.337,     3139.000,743430896.000,       -2.152,     7393.873,     1349.000, 35840323.000,        1.004,     -270.316,      140.000,  2594495.000,        1.524,      -59.588,        0.000,      357.000,       -0.010,        0.007,        5.000,   121477.000,        1.133,       -2.508,      410.000,  8951773.000,        1.287,     -127.705,      101.000,  5406439.000,       -0.007,        0.678,     2863.000,257892713.000,       -0.758,      514.935,      477.000, 34044160.000,       -0.422,       25.402,        8.000,   312132.000,        0.450,       -1.441,        9.000,   714693.000,       -0.576,        1.965,       18.000, 74382147.000,       -6.277,     1319.003,        4.000,   215470.000,       -0.016,        0.478,  351.0,41801.0,17951.0,15163.0,   98.1,   26.6,18302.0,56964.0,40206436,39064494,97.2,0.406872,50,15517570,39.72295148632925,5392656,13.804494690242244
DRIPc_NT2_Chedin_S9.6_SRX1070677,1,0.993509829044342,1,71.1990439793788,SRR2075680,DRIPc,NA,FALSE,hg38,TRUE,RNA,S9.6,SRX1070677_NT2_DRIPc-seq_rep_2,50,GSM1720614,Chedin,HS,NT2,WT,NT,S9.6,2,None,RES,SRX1070677,DRIP,-0.0920839920221265,1,0.417226459902535,0.410545754404663,0.237199706265609,-0.0625404585768082,2.92490763544053,unbiased,-5000,5000,50,31.557560826345,1854.07829956024,0.011265977921531,2.71851316619316,unbiased,2.699837725867246,     2167.000, 26799975.000,        2.094,    -1514.768,       16.000,  4048118.000,       -2.261,       37.711,        1.000,   107756.000,       -1.029,        0.929,        4.000,    97618.000,        1.113,       -2.148,      269.000,  7003187.000,        1.020,      -57.052,     2043.000, 32259694.000,        1.741,    -1056.662,     8784.000,627171241.000,       -0.435,      550.399,        7.000,   261762.000,        0.498,       -1.463,     5555.000,377278939.000,       -0.363,      220.493,        4.000,   360201.000,       -0.770,        1.662,        2.000,    91224.000,        0.211,       -0.663,       51.000,  2109004.000,        0.353,       -2.965,     1813.000, 99004884.000,       -0.049,        2.611,     2662.000, 37027799.000,        1.924,    -1628.984,    25507.000,654418964.000,        1.041,    -7427.282,     3076.000,743344844.000,       -2.194,     7619.171,     1371.000, 35810582.000,        1.015,     -280.242,      164.000,  2593280.000,        1.739,      -86.081,        0.000,      357.000,       -0.010,        0.007,        2.000,   121379.000,       -0.201,        0.517,      392.000,  8944809.000,        1.210,     -110.049,       90.000,  5400374.000,       -0.185,        2.116,     2904.000,257799120.000,       -0.750,      510.513,      513.000, 34016950.000,       -0.329,       17.017,        6.000,   311925.000,        0.022,       -0.617,        8.000,   713433.000,       -0.756,        2.544,       13.000, 74463397.000,       -6.761,     1355.848,        2.000,   215470.000,       -1.029,        1.485,  140.0,47849.0,10869.0, 9604.0,   98.7,   16.7,11009.0,57453.0,24476530,23509552,96,0.471714,49,15837135,67.3646822363948,8433539,35.872818844017104
DRIP_NT2_Chedin_S9.6_SRX1070678,1,0.993509829044342,1,105.45701863464909,SRR2075681,DRIP,NA,FALSE,hg38,FALSE,DNA,S9.6,SRX1070678_NT2_DRIP-seq_1,50,GSM1720615,Chedin,HS,NT2,WT,NT,S9.6,1,None,RES,SRX1070678,DRIP,-0.111277815850591,1,0.665561612112567,0.58022570120127,0.258461801906495,-1.3087938044345,3.97216948678784,unbiased,-5000,5000,0,24.8097054898704,1821.10909361911,0.0142227670043325,2.68397375779705,unbiased,2.699837725867246,     1021.000, 26860586.000,        1.837,     -577.051,       28.000,  4068854.000,       -0.629,        4.734,        1.000,   108000.000,       -0.201,        0.384,        3.000,    97618.000,        1.530,       -2.435,      136.000,  7052149.000,        0.858,      -22.553,     1001.000, 32493758.000,        1.533,     -419.344,     3795.000,634060208.000,       -0.830,      933.369,        5.000,   262620.000,        0.839,       -1.887,     4738.000,380787651.000,        0.226,      -66.478,        3.000,   362795.000,       -0.364,        0.774,        3.000,    91944.000,        1.616,       -2.572,       27.000,  2139816.000,        0.246,       -1.546,      726.000, 99557232.000,       -0.545,       63.875,     1619.000, 37210595.000,        2.032,    -1084.422,    12064.000,657294101.000,        0.786,    -2042.284,     1981.000,782094619.000,       -2.071,     4257.652,     2556.000, 36044600.000,        2.736,    -2754.220,      246.000,  2604002.000,        3.150,     -323.125,        0.000,      357.000,       -0.005,        0.004,        3.000,   122224.000,        1.206,       -1.945,      878.000,  9072016.000,        3.185,    -1170.419,       67.000,  5496866.000,        0.196,       -1.912,     1682.000,262561867.000,       -0.732,      282.471,      298.000, 35188800.000,       -0.330,       10.720,        2.000,   315023.000,       -0.745,        1.053,        4.000,   715641.000,       -0.929,        2.089,       40.000, 76245480.000,       -4.342,      662.904,        0.000,   218846.000,       -1.735,        2.329, 3057.0,11567.0,36644.0,21372.0,   92.3,   64.9,39701.0,32939.0,60933938,58406404,95.9,0.473814,50,43579116,74.61359203007945,8211270,14.058852176552419
DRIP_NT2_Chedin_S9.6_SRX1070679,1,0.993509829044342,1,94.04885649733558,SRR2075682,DRIP,NA,FALSE,hg38,FALSE,DNA,S9.6,SRX1070679_NT2_DRIP-seq_2,50,GSM1720616,Chedin,HS,NT2,WT,NT,S9.6,2,None,RES,SRX1070679,DRIP,-0.0928821398063216,1,0.558043919491217,0.495660138123502,0.223373257851818,-1.28842237753405,4.04679308282101,unbiased,-5000,5000,0,9.40118753005416,1737.0284023991,0.0140730140220114,2.86814151898705,unbiased,2.699837725867246,     1235.000, 26840223.000,        1.884,     -727.438,       25.000,  4066076.000,       -1.019,        9.906,        1.000,   108000.000,       -0.429,        0.493,        3.000,    97618.000,        1.302,       -2.086,      189.000,  7046357.000,        1.106,      -46.734,     1309.000, 32431127.000,        1.695,     -648.361,     4910.000,633543235.000,       -0.685,      798.801,        5.000,   262552.000,        0.612,       -1.459,     4901.000,379821774.000,        0.050,       -5.294,        2.000,   362795.000,       -1.177,        1.765,        0.000,    91851.000,       -1.101,        1.145,       34.000,  2124114.000,        0.361,       -2.411,      892.000, 99427593.000,       -0.474,       58.631,     1947.000, 37129880.000,        2.073,    -1347.002,    15140.000,656235516.000,        0.888,    -3234.660,     2084.000,781412572.000,       -2.224,     5384.870,     2361.000, 35974868.000,        2.397,    -2062.946,      260.000,  2602436.000,        3.003,     -317.845,        0.000,      357.000,       -0.006,        0.004,        2.000,   121738.000,        0.399,       -0.803,      955.000,  9027919.000,        3.085,    -1213.390,       69.000,  5485386.000,        0.013,       -0.722,     1814.000,262327750.000,       -0.850,      420.421,      334.000, 34905746.000,       -0.381,       15.300,        6.000,   314362.000,        0.615,       -1.599,        3.000,   714206.000,       -1.569,        3.784,       20.000, 75650018.000,       -5.559,      859.447,        1.000,   218711.000,       -1.447,        1.411,  401.0,24707.0,19808.0,13808.0,   98.0,   35.9,20209.0,38515.0,39783302,38399500,96.5,0.489002,50,31145639,81.10949100899751,12019144,31.300261722157842
DRIP_NT2_Chedin_S9.6_SRX1070680,1,0.993509829044342,1,106.82317296745305,SRR2075683,DRIP,NA,FALSE,hg38,FALSE,DNA,S9.6,SRX1070680_NT2_DRIP-seq_RNaseA,100,GSM1720617,Chedin,HS,NT2,WT,RNaseA,S9.6,0,None,RES,SRX1070680,DRIP,-0.127425720337472,1,0.684122840636844,0.592107953107902,0.256790855770352,-1.35517451226061,4.06742323947513,unbiased,-5000,5000,0,26.8456143424361,1795.34294681326,0.0220382495324763,2.74410343239698,unbiased,2.699837725867246,      897.000, 26857358.000,        1.574,     -391.806,      151.000,  4071962.000,        1.724,      -78.418,        1.000,   108000.000,       -0.277,        0.418,        3.000,    98057.000,        1.447,       -2.306,      179.000,  7064732.000,        1.175,      -49.140,     1092.000, 32508804.000,        1.582,     -481.839,     3871.000,634390808.000,       -0.879,     1077.630,        3.000,   262886.000,        0.024,       -0.570,     5682.000,380550663.000,        0.412,     -248.262,        4.000,   362795.000,       -0.025,        0.486,        0.000,    91895.000,       -1.022,        1.031,       43.000,  2130246.000,        0.847,       -8.201,      700.000, 99535470.000,       -0.674,       95.650,     1544.000, 37238817.000,        1.886,     -914.736,    11780.000,657329030.000,        0.675,    -1490.454,     2818.000,783258549.000,       -1.641,     3409.786,     2296.000, 36065616.000,        2.504,    -2151.615,      240.000,  2604425.000,        3.038,     -298.736,        0.000,      357.000,       -0.006,        0.004,        1.000,   121961.000,       -0.453,        0.506,      784.000,  9141122.000,        2.934,     -923.917,       70.000,  5506199.000,        0.180,       -1.816,     2050.000,262684094.000,       -0.524,      169.304,      454.000, 35307888.000,        0.196,       -6.087,        2.000,   315401.000,       -0.823,        1.160,        4.000,   715461.000,       -1.005,        2.323,       76.000, 76716312.000,       -3.502,      612.420,        3.000,   233456.000,        0.196,       -0.720, 2734.0,13441.0,32267.0,21315.0,   92.2,   61.3,35001.0,34756.0,43536380,40515300,93.1,0.47059,100,29803017,73.55990699809702,5153648,12.720251361831208
DRIP_NT2_Chedin_RNH_SRX1070681,0,0.010416234843432903,0,24.51102803428124,SRR2075684,DRIP,NA,FALSE,hg38,FALSE,DNA,S9.6,SRX1070681_NT2_DRIP-seq_RNaseH,100,GSM1720618,Chedin,HS,NT2,WT,RNaseH,RNH,0,None,RES,SRX1070681,DRIP,-0.0925691578589138,0.592120267311082,0.190022129216556,0.195322630456357,0.133035880181882,0.606359976139562,3.39254742488154,unbiased,-5000,5000,150,122.641419677345,2024.99285408953,-0.0526926603380245,2.38397870314446,unbiased,2.699837725867246,      239.000, 26874579.000,        0.499,      -15.393,       44.000,  4072966.000,        0.780,       -7.426,        0.000,   108000.000,       -0.748,        0.679,        0.000,    98057.000,       -0.693,        0.617,       55.000,  7064582.000,        0.308,       -2.672,      384.000, 32543779.000,        0.907,      -66.227,     2942.000,634930444.000,       -0.441,      191.236,        2.000,   262622.000,        0.276,       -0.710,     4240.000,381283010.000,        0.822,     -681.238,        2.000,   362795.000,       -0.190,        0.510,        1.000,    91950.000,        0.790,       -0.823,        9.000,  2145818.000,       -0.585,        2.001,      407.000, 99644880.000,       -0.623,       48.234,      486.000, 37265169.000,        1.052,     -107.761,     4488.000,657753634.000,        0.117,      -21.152,     3362.000,784055691.000,       -0.553,      367.396,      473.000, 36101290.000,        1.058,     -106.062,       28.000,  2605981.000,        0.772,       -5.186,        0.000,      357.000,       -0.003,        0.002,        3.000,   122686.000,        1.959,       -3.136,      143.000,  9160560.000,        1.311,      -47.674,       90.000,  5516470.000,        1.375,      -33.244,     1473.000,262971578.000,       -0.167,       13.666,      482.000, 35392367.000,        1.114,     -118.070,        1.000,   315783.000,       -0.990,        0.892,        5.000,   715223.000,        0.152,       -0.760,      135.000, 76964097.000,       -1.843,      182.981,        4.000,   233510.000,        1.445,       -2.784,  378.0,17865.0, 1975.0, 1645.0,   83.9,    8.4, 2353.0,19510.0,47390764,44787090,94.5,0.418681,99,16309951,36.416634793642544,5675282,12.67169177546476
DRIP_K562_Chedin_S9.6_SRX1070682,1,0.993509829044342,1,98.89355863974816,SRR2075685,DRIP,NA,FALSE,hg38,FALSE,DNA,S9.6,SRX1070682_K562_DRIP-seq,100,GSM1720619,Chedin,HS,K562,WT,NT,S9.6,0,None,RES,SRX1070682,DRIP,-0.108355243626983,1,0.646909483627246,0.573028962896381,0.251093762241771,-1.05131811385438,3.38149593738317,unbiased,-5000,5000,-50,-33.800458051301,1781.90964669297,-0.000431255248447507,2.76179605448917,unbiased,2.699837725867246,      781.000, 26945309.000,        1.568,     -339.535,      102.000,  4098681.000,        1.348,      -36.179,        1.000,   108342.000,       -0.083,        0.337,        2.000,   101671.000,        1.009,       -1.339,      137.000,  7105106.000,        0.980,      -28.275,      981.000, 32786679.000,        1.614,     -448.153,     3466.000,635133238.000,       -0.841,      877.188,        2.000,   264097.000,       -0.368,        0.648,     5862.000,381263821.000,        0.653,     -611.969,        1.000,   363116.000,       -1.828,        2.035,        1.000,    93770.000,        0.125,       -0.511,       53.000,  2170361.000,        1.321,      -19.166,      599.000, 99640038.000,       -0.702,       89.405,     1360.000, 37479887.000,        1.892,     -810.885,     9478.000,657873430.000,        0.559,     -836.236,     2106.000,783786311.000,       -1.863,     3472.787,     2393.000, 36401455.000,        2.749,    -2598.786,      183.000,  2618427.000,        2.838,     -206.332,        0.000,      357.000,       -0.005,        0.003,        6.000,   122562.000,        2.324,       -6.510,      587.000,  9117645.000,        2.719,     -616.601,       79.000,  5507024.000,        0.553,       -7.173,     1709.000,263193693.000,       -0.590,      181.664,      328.000, 35251891.000,       -0.071,        1.652,        1.000,   315998.000,       -1.627,        1.681,        3.000,   714894.000,       -1.220,        2.497,       80.000, 76430031.000,       -3.223,      498.933,        7.000,   233261.000,        1.618,       -4.715, 1588.0,15133.0,22221.0,15188.0,   93.3,   50.1,23809.0,30321.0,54328887,51101452,94.1,0.457814,100,34168579,66.86420378035443,6171153,12.076277206369792
DRIP_JURKAT_Szekvolgyi_S9.6_SRX2455195,0,0.010416234843432903,0,-2.609447843971896,SRR5137204,DRIP,SRR5137203,FALSE,hg38,FALSE,DNA,S9.6,SRX2455195_UNKNOWN,50,SRR5137204,Szekvolgyi,HS,JURKAT,WT,NT,S9.6,1,Input,SON,SRX2455195,DRIP,-0.0369706426660933,1,0.00464935609510538,0.0242012455073421,0.0863385544205525,9.05662318402302,102.932691382478,unbiased,-5000,5000,-100,-321.273624732084,2445.70394310504,-0.0302366521407635,2.26338944984876,unbiased,2.0977777345392834,        4.000, 26833139.000,       -0.081,        0.539,        0.000,  4064413.000,       -0.715,        0.641,        0.000,   108000.000,       -0.024,        0.017,        0.000,    97618.000,       -0.022,        0.015,        0.000,  7044597.000,       -1.080,        1.112,        4.000, 32411719.000,       -0.354,        0.867,      112.000,633247551.000,        0.166,       -2.336,        0.000,   262214.000,       -0.058,        0.041,       27.000,379691148.000,       -1.149,       14.621,        0.000,   362795.000,       -0.080,        0.057,        0.000,    91810.000,       -0.021,        0.014,        0.000,  2111155.000,       -0.415,        0.333,       10.000, 99396021.000,       -0.648,        2.457,        1.000, 37120946.000,       -2.549,        3.954,      104.000,656103354.000,        0.008,       -0.706,       88.000,780981659.000,       -0.485,        9.270,        1.000, 35956671.000,       -2.503,        3.795,        0.000,  2601483.000,       -0.496,        0.410,        0.000,      357.000,        0.000,        0.000,        0.000,   121638.000,       -0.027,        0.019,        0.000,  9006751.000,       -1.278,        1.422,       39.000,  5480566.000,        5.496,     -114.664,       20.000,262188003.000,       -1.048,        9.137,       73.000, 34815945.000,        3.733,     -129.272,        0.000,   314325.000,       -0.070,        0.050,        0.000,   714206.000,       -0.154,        0.113,        4.000, 75581451.000,       -1.575,        4.891,        0.000,   216846.000,       -0.049,        0.034, 519.0,1007.0, 487.0, 474.0,  48.4,  32.0,1006.0,1481.0,40552542,40361788,99.5,0.404511,50,25155571,62.32521463122496,23725129,58.78116450143388
