#'chr'	'start'	'end'	'SRX1070676_NT2_DRIPc-seq_rep_1.hg38.bw'	'SRX1070677_NT2_DRIPc-seq_rep_2.hg38.bw'	'SRX1070678_NT2_DRIP-seq_1.hg38.bw'	'SRX1070679_NT2_DRIP-seq_2.hg38.bw'	'SRX1070680_NT2_DRIP-seq_RNaseA.hg38.bw'	'SRX1070681_NT2_DRIP-seq_RNaseH.hg38.bw'	'SRX255721_NT2_DRIP-seq_1.hg38.bw'	'SRX255723_NT2_DRIP-seq_2_rep_1.hg38.bw'	'SRX255724_NT2_DRIP-seq_2_rep_2.hg38.bw'
chr1	67636070	67637000	0.0	0.0	0.2903225806451613	0.27956989247311825	0.6344086021505376	0.6344086021505376	0.4731182795698925	0.23655913978494625	0.3118279569892473
chr1	67637000	67638000	0.0	0.0	0.43	0.07	0.39	0.71	0.27	0.49	0.53
chr1	67638000	67639000	0.06	0.0	0.4	0.57	0.67	0.53	0.31	0.18	0.36
chr1	67639000	67640000	0.11	0.0	0.3	0.27	0.08	0.33	0.32	0.43	0.17
chr1	67640000	67641000	0.06	0.0	0.29	0.21	0.31	0.33	0.42	0.26	0.3
chr1	67641000	67642000	0.06	0.12	0.26	0.14	0.34	0.22	0.2	0.16	0.2
chr1	67642000	67643000	0.12	0.06	0.34	0.19	0.22	0.22	0.37	0.59	0.42
chr1	67643000	67644000	0.0	0.0	0.38	0.12	0.49	0.24	0.21	0.58	0.34
chr1	67644000	67645000	0.12	0.0	0.22	0.43	0.47	1.0	0.98	0.33	0.47
chr1	67645000	67646000	0.0	0.0	0.41	0.21	0.32	0.29	0.19	0.27	0.2
chr1	67646000	67647000	0.06	0.06	0.45	0.41	0.53	1.07	0.73	0.39	0.44
chr1	67647000	67648000	0.06	0.0	0.68	0.3	0.99	0.7	0.57	0.99	0.51
chr1	67648000	67649000	0.0	0.0	0.45	0.05	0.58	0.32	0.29	0.41	0.26
chr1	67649000	67650000	0.0	0.0	0.5	0.61	1.04	0.77	0.71	0.79	0.44
chr1	67650000	67651000	0.0	0.06	0.44	0.45	0.99	0.68	0.52	0.27	0.27
chr1	67651000	67652000	0.12	0.18	0.72	0.36	0.23	1.04	0.63	1.15	1.31
chr1	67652000	67653000	0.06	0.18	0.4	0.56	0.7	0.64	0.46	0.34	0.41
chr1	67653000	67654000	0.06	0.0	0.84	0.21	0.72	0.63	0.51	0.38	0.35
chr1	67654000	67655000	0.0	0.12	0.18	0.16	0.88	1.01	0.47	0.83	1.16
chr1	67655000	67656000	0.11	0.0	0.59	0.11	1.21	0.33	0.42	0.59	0.6
chr1	67656000	67657000	0.0	0.0	0.22	0.14	0.4	0.31	0.09	0.08	0.6
chr1	67657000	67658000	0.0	0.0	0.37	0.38	0.24	0.46	0.22	0.33	0.16
chr1	67658000	67659000	0.06	0.06	0.3	0.3	0.44	0.54	0.47	0.4	0.42
chr1	67659000	67660000	0.06	0.05	0.36	0.24	0.77	0.76	0.35	0.3	0.23
chr1	67660000	67661000	0.06	0.0	0.24	0.04	0.44	0.22	0.32	0.73	0.44
chr1	67661000	67662000	0.11	0.0	0.6	0.2	0.33	0.66	0.41	0.38	0.17
chr1	67662000	67663000	0.06	0.0	0.42	0.05	0.11	0.0	0.32	0.3	0.27
chr1	67663000	67664000	0.06	0.06	0.27	0.3	0.22	0.22	0.33	0.21	0.28
chr1	67664000	67665000	0.11	0.0	0.49	0.06	0.66	0.76	0.16	0.35	0.09
chr1	67665000	67666000	0.0	0.06	0.06	0.0	0.11	0.0	0.06	0.06	0.05
chr1	67666000	67667000	0.06	0.0	0.17	0.18	0.1	0.11	0.22	0.06	0.05
chr1	67667000	67668000	0.06	0.0	0.45	0.18	0.33	0.76	0.5	0.5	0.43
chr1	67668000	67669000	0.12	0.0	0.59	0.06	0.76	0.22	0.54	0.62	0.68
chr1	67669000	67670000	0.24	0.02	0.57	0.24	0.72	0.32	0.35	0.41	0.36
